0.4,0.3,15.258,0.51948,1.0459,1
0.9,1,14.778,0.08547,0.72811,1
0.71429,1,15.031,0.28571,1.1141,1
0,1,15.332,0.48571,2.0639,1
0.84375,0.18182,14.625,0.57143,1.3053,1
0.93664,0.0090909,17.299,0.6313,1.3441,1
0.30769,1,15.052,0.42714,6.3444,1
0.057971,1,14.87,0.57983,3.2625,2
0.83051,0.88462,16.769,0.10261,5.0432,2
0.92523,0.0072993,15.731,0.76211,1.1598,2
0.96552,0.24,13.856,0.2028,1.4091,2
0.98198,0.19811,10.691,0.41966,4.4988,2
0.96188,0.0082645,19.378,0.7136,1.1253,2
0.93564,0.0060606,15.234,0.67408,0.99289,3
0.96078,0.0052356,15.813,0.64809,1.0798,3
0.9373,0.0059524,15.416,0.69188,1.1673,3
0.93172,0.0052083,18.199,0.68719,1.0108,3
0.21176,1,23.012,0.5,1.9863,4
0.30645,0.928,16.643,0.48,6.383,4
0.93909,0.0096154,19.528,0.68522,1.0559,4
0.75926,0.011494,18.508,0.72,1.1456,4
0.90256,0.0080645,17.122,0.53793,1.1939,4
0.45378,0.99213,17,0.3808,6.2493,4
0.55521,1,16.186,0.5072,5.8973,4
0.85,1,48.012,0.05848,1.6313,4
0.70588,0.9,16.989,0.34694,1.2943,4
0.56881,1,16.875,0.5232,6.3725,4
0.95862,0.007874,19.296,0.64444,1.0466,4
0.92254,0.011236,18.638,0.58799,0.98661,5
0.89809,0.011494,21.295,0.6501,0.98176,5
1,0.011111,15.903,0.64626,0.97169,5
0.8972,0.011628,13.233,0.6646,1.0048,5
0.86405,0.011236,21.147,0.6853,0.97773,5
0.98452,0.0088496,22.216,0.53833,1.4015,5
0.91693,0.024242,25.164,0.70968,1.1867,6
0.99636,0.018072,12.658,0.65398,1.2527,6
0.7551,0.92222,9.9665,0.093333,4.148,6
0.96577,0.020942,20.447,0.65689,1.2484,6
0.15341,0.14286,24.733,0.8,1.3189,6
0.94118,0.48148,46.286,0.11888,1.1641,6
0.99142,0.059524,22.619,0.69322,1.2819,6
0.90308,0.12397,14.123,0.67259,1.532,6
0.9911,0.02924,12.769,0.66825,1.2415,6
0.80863,0.056911,18.378,0.73517,1.237,6
0.89757,0.06993,22.709,0.73563,1.2879,6
0.82558,0.72222,16.631,0.61429,2.5656,7
0.87032,0.60417,23.291,0.51213,3.6797,7
0.98088,0.49474,19.948,0.54422,3.0425,7
0.79727,0.71681,23.73,0.67747,2.364,7
0.91753,0.46988,24.033,0.50679,2.3594,7
0.98515,0.62937,18.564,0.55418,2.6464,7
0.99774,0.55422,17.547,0.52556,2.7938,7
0.89766,0.69048,17.381,0.50667,3.011,7
0.88973,0.40559,22.211,0.67178,2.4871,7
0.99564,0.46061,22.423,0.52759,2.8362,7
0.55438,0.40611,20.875,0.37794,3.5852,7
0.90688,0.54225,24.061,0.63091,2.223,7
0.76961,0.77626,17.344,0.27961,7.5232,7
0.40401,0.50909,14.976,0.39933,2.7455,8
0.42015,0.29134,18.502,0.33498,2.9657,8
0.56387,0.16038,21.983,0.32561,3.6005,8
0.95469,0.14521,17.316,0.39072,2.703,8
0.40083,0.1875,13.644,0.3814,2.5714,8
0.71241,0.16129,16.239,0.37491,2.432,8
0.47294,0.52448,16.225,0.38392,2.4024,8
0.70543,0.10638,13.68,0.40598,2.8328,8
0.8592,0.27755,18.907,0.43554,2.0751,8
0.58882,0.18812,20.604,0.41304,2.3378,8
0.88369,0.25063,11.445,0.35366,2.0667,9
0.92126,0.31557,11.95,0.31737,2.3554,9
0.69835,0.19637,10.769,0.34989,1.9025,9
0.59766,0.34028,12.057,0.35457,2.6488,9
0.90766,0.2211,11.286,0.34824,3.1937,9
0.55583,0.5,11.056,0.34258,2.3151,9
0.88889,0.28607,11.354,0.33617,2.7215,9
0.79319,0.22314,11.098,0.3626,2.595,9
0.639,0.65455,12.365,0.30937,1.9296,9
0.92398,0.34286,13.642,0.59478,2.1672,10
0.7641,0.17143,14.763,0.62802,1.8992,10
1,0.21127,15.572,0.52949,2.169,10
0.96802,0.25472,16.095,0.59826,1.8995,10
1,0.46602,13.859,0.55955,2.2588,10
0.96758,0.16667,18.601,0.51213,2.3856,10
0.84663,0.33333,15.533,0.67495,1.9456,10
0.94065,0.4,19.574,0.58609,2.7058,10
0.98187,0.2,15.898,0.57185,1.9118,10
